Q7604	Leonhard Euler
Q188	German
Q78608	Carl Djerassi
Q12078	cancer
Q739	Colombia
Q656801	International Finance Corporation
Q192279	Aleksey Nikolayevich Tolstoy
Q7737	Russian
Q55	Netherlands
Q1969730	Schengen Area
Q318509	Henry Rollins
Q1476215	human rights activist
Q1511	Richard Wagner
Q3387717	theater director
Q221364	Jaden Smith
Q33999	actor
Q217427	La Toya Jackson
Q44855	Jackie Jackson
Q443995	John Cameron Mitchell
Q10798782	television actor
Q446743	Julian Klaczko
Q201788	historian
Q47122	Enrique Iglesias
Q1321	Spanish
Q865	Taiwan
Q971	Republic of the Congo
Q11063	astronomer
Q106775	Richard Harris
Q488205	singer-songwriter
Q348658	Adam Ant
Q2259451	stage actor
Q41304	Weimar Republic
Q46	Europe
Q107933	Jim Belushi
Q245068	comedian
Q1779	Louis Armstrong
Q49085	African Americans
Q242095	Dino Buzzati
Q1930187	journalist
Q55800	Oprah Winfrey
Q30	United States of America
Q25089	Woody Allen
Q15981151	jazz musician
Q786	Dominican Republic
Q376150	International Telecommunication Union
Q77888	Wilhelm von Humboldt
Q37226	teacher
Q60197	Alfred Einstein
Q49088	Columbia University
Q312053	Rick Wakeman
Q753110	songwriter
Q41257	Heinrich Rudolf Hertz
Q152087	Humboldt University of Berlin
Q184	Belarus
Q213	Czech Republic
Q311256	Richard Marx
Q1297	Chicago
Q7241	Rabindranath Tagore
Q1860	English
Q929	Central African Republic
Q1049	Sudan
Q211	Latvia
Q6714	Wilhelm Grimm
Q182436	librarian
Q154691	Carlos Fuentes
Q36180	writer
Q1624891	Holly Near
Q721819	Roy Clark
Q423	North Korea
Q1007	Guinea-Bissau
Q258	South Africa
Q843	Pakistan
Q77	Uruguay
Q526709	William Dean Howells
Q712860	Chris Martin
Q178698	W. H. Auden
Q1622272	university teacher
Q434745	Tinashe
Q5716684	dancer
Q233295	Tila Tequila
Q13590141	presenter
Q49074	Kurt Vonnegut
Q33760	Bertrand Russell
Q93343	Percy Bysshe Shelley
Q888666	Bobby Scott
Q486748	pianist
Q84423	Martin Buber
Q16409	Tristan Tzara
Q193391	diplomat
Q230	Georgia
Q117	Ghana
Q561458	Henry Louis Gates
Q185610	will.i.am
Q3282637	film producer
Q983	Equatorial Guinea
Q2029901	OHADA
Q1290	Blaise Pascal
Q169470	physicist
Q152301	George Tabori
Q184485	performing arts
Q58062	Georg Forster
Q2374149	botanist
Q152513	Henry Wadsworth Longfellow
Q9049	Noam Chomsky
Q14467526	linguist
Q313080	Soulja Boy
Q1643790	J. Rodolfo Wilcock
Q8261	novel
Q1276	Leonard Cohen
Q183387	Columbia Records
Q44414	Trey Parker
Q177220	singer
Q223741	Brian Molko
Q2643890	vocalist
Q550778	John de Lancie
Q639669	musician
Q245257	William Styron
Q6882	James Joyce
Q240808	Maureen Tucker
Q170576	Milla Jovovich
Q1242553	Lonnie Liston Smith
Q17172850	voice
Q1033	Nigeria
Q191384	International Bank for Reconstruction and Development
Q192348	Benedetto Croce
Q38	Italy
Q148	People's Republic of China
Q252	Indonesia
Q185724	Mike Myers
Q2526255	film director
Q1010602	Giorgio Gaber
Q652	Italian
Q379580	John Muir
Q11900058	explorer
Q83297	John William Strutt, 3rd Baron Rayleigh
Q684415	Bavarian Academy of Sciences and Humanities
Q34	Sweden
Q408	Australia
Q237659	Penny Marshall
Q212	Ukraine
Q227	Azerbaijan
Q215	Slovenia
Q221	North Macedonia
Q236	Montenegro
Q1246	Kosovo
Q173637	Ice Cube
Q161806	Académie Française
Q150	French
Q219	Bulgaria
Q711	Mongolia
Q315181	Alexey Vorobyov
Q159	Russia
Q884	South Korea
Q145	United Kingdom
Q398	Bahrain
Q42398	Michail Sholokhov
Q206439	Isaac Hayes
Q2405480	voice actor
Q101740	Benoit Mandelbrot
Q270794	National Academy of Sciences
Q82222	Little Richard
Q45981	rhythm and blues
Q697	Nauru
Q76600	Manfred Eigen
Q463303	American Academy of Arts and Sciences
Q25820	Thomas Young
Q4773904	anthropologist
Q16	Canada
Q769	Grenada
Q18814623	autobiographer
Q83059	Saul Bellow
Q82925	Joseph Conrad
Q1377612	European Payments Union
Q40	Austria
Q183	Germany
Q228	Andorra
Q458	European Union
Q1028	Morocco
Q7809	UNESCO
Q57075	Fritz Haber
Q12152	myocardial infarction
Q47100	Ben Stiller
Q28389	screenwriter
Q811	Nicaragua
Q49	North America
Q902	Bangladesh
Q384535	African Union – United Nations Hybrid Operation in Darfur
Q819	Laos
Q183266	Samuel Johnson
Q164487	Ava Gardner
Q4610556	model
Q833	Malaysia
Q1030	Namibia
Q155786	Dennis Gabor
Q123885	Royal Society
Q201656	Nick Jonas
Q4235	Miley Cyrus
Q41	Greece
Q23728	Larry David
Q231690	Bhimrao Ramji Ambedkar
Q142	France
Q19771	G20
Q37	Lithuania
Q132537	J. Robert Oppenheimer
Q35794	University of Cambridge
Q236318	Faith Evans
Q850412	contemporary R&B
Q216195	Tom Wolfe
Q5686	Charles Dickens
Q152293	Aram Khachaturian
Q9730	classical music
Q224	Croatia
Q43	Turkey
Q878	United Arab Emirates
Q851	Saudi Arabia
Q61863	Ulrich von Wilamowitz-Moellendorff
Q82955	politician
Q1041	Senegal
Q50020	John Stuart Mill
Q42406	English people
Q1016	Libya
Q965	Burkina Faso
Q7825	World Trade Organization
Q183535	Veniamin Smekhov
Q800	Costa Rica
Q36268	Brigitte Bardot
Q46096	Felix Mendelssohn
Q34069	Ashkenazi Jews
Q4061	Woody Guthrie
Q51290	harmonica
Q1744	Madonna
Q207628	musical composition
Q103835	Peter Debye
Q49115	Cornell University
Q96	Mexico
Q228787	Jada Pinkett Smith
Q11399	rock music
Q957627	Luis Alberto Spinetta
Q206159	psychedelic rock
Q367634	Big Sean
Q11401	hip hop music
Q741862	Massimo Bontempelli
Q220	Rome
Q77112	David Foster
Q217787	Carole King
Q36834	composer
Q414	Argentina
Q842490	Organisation for the Prohibition of Chemical Weapons
Q155079	Missy Elliott
Q10800557	film actor
Q159583	Holy See
Q8446	Kurt Cobain
Q18939491	diarist
Q344983	Babyface
Q190585	Island Records
Q298	Chile
Q899770	International Centre for Settlement of Investment Disputes
Q6538	Günter Grass
Q11774202	essayist
Q32257	Christoph Wilhelm Hufeland
Q83172	Russian Academy of Sciences
Q27	Ireland
Q813	Kyrgyzstan
Q826	Maldives
Q66107	Henry Kissinger
Q151164	André Malraux
Q79	Egypt
Q215927	Yeshayahu Leibowitz
Q593644	chemist
Q44426	Rainer Werner Fassbinder
Q1726	Munich
Q39	Switzerland
Q298255	Rob Zombie
Q59185	Busta Rhymes
Q4413456	Republic Records
Q1391164	Tamer Hosny
Q183492	Margaret Atwood
Q991	Fyodor Dostoyevsky
Q204868	Yevgeny Zamyatin
Q348497	Ilya Ehrenburg
Q6625963	novelist
Q43432	Justin Timberlake
Q37073	pop music
Q184440	Jorge Amado
Q311145	Joaquim Maria Machado de Assis
Q173061	Syd Barrett
Q186485	Billy Crystal
Q1037	Rwanda
Q28	Hungary
Q837	Nepal
Q345612	Harold Bloom
Q49112	Yale University
Q156941	Eduard Suess
Q597433	Peter Tork
Q258896	banjo
Q1785	Charles Aznavour
Q5611262	Group on Earth Observations
Q483507	Kelly Clarkson
Q49767	François-René de Chateaubriand
Q76823	Karl Mannheim
Q84	London
Q12706	Maxim Gorki
Q229	Republic of Cyprus
Q36	Poland
Q201500	Gerald Wilson
Q65	Los Angeles
Q119546	Howard Zinn
Q733	Paraguay
Q794	Iran
Q70855	Friedrich von Raumer
Q7325	Jewish people
Q131149	Henry David Thoreau
Q1586454	Harry Chapin
Q6711	Allen Ginsberg
Q578109	television producer
Q191	Estonia
Q668	India
Q782942	Australia Group
Q42402	Andrea Bocelli
Q38903	Universal Music Group
Q34474	Aleksandr Solzhenitsyn
Q526406	Ric Ocasek
Q238819	Jay Chou
Q231694	Interscope Records
Q275875	Andriy Danylko
Q168992	Jessica Simpson
Q750	Bolivia
Q347	Liechtenstein
Q179257	Timbaland
Q11366	alternative rock
Q663492	Eurocontrol
Q944275	James Lighthill
Q233	Malta
Q7785	Commonwealth of Nations
Q912	Mali
Q1065	United Nations
Q251068	Wang Leehom
Q229018	Jewel
Q153694	Michael Bublé
Q2086086	Valery Meladze
Q78487	Robert Musil
Q482980	author
Q127330	Frank Zappa
Q66732	Eugen Rosenstock-Huessy
Q2306091	sociologist
Q1020	Malawi
Q8475	Interpol
Q191064	Liv Ullmann
Q958	South Sudan
Q157324	François Guizot
Q253439	Royal Netherlands Academy of Arts and Sciences
Q1032	Niger
Q134102	Organisation internationale de la Francophonie
Q18809	Anatoly Lunacharsky
Q2370801	Academy of Sciences of the USSR
Q104049	Sidney Poitier
Q691	Papua New Guinea
Q31	Belgium
Q826700	International Energy Agency
Q403	Serbia
Q854	Sri Lanka
Q78506	Ingeborg Bachmann
Q4964182	philosopher
Q448837	André 3000
Q1698	Serge Gainsbourg
Q1415090	film score composer
Q8814	Augustin-Louis Cauchy
Q180004	Fergie
Q202585	RCA Records
Q337234	Academia Europaea
Q9364	Jean-Paul Sartre
Q90	Paris
Q736	Ecuador
Q47152	Mary Shelley
Q18844224	science fiction writer
Q484302	James Hetfield
Q262	Algeria
Q1050	Eswatini
Q232	Kazakhstan
Q342723	Gene Autry
Q2722764	radio personality
Q193196	University College London
Q1350303	Holly Johnson
Q46185	bass guitar
Q80596	Arthur Miller
Q60	New York City
Q726071	Jimmy Buffett
Q107424	Akiko Yano
Q20	Norway
Q42262	European Space Agency
Q154145	Gabriel Marcel
Q9358	Friedrich Nietzsche
Q131524	entrepreneur
Q184697	Gloria Estefan
Q17	Japan
Q702468	Salvador de Madariaga
Q273626	École Polytechnique
Q2643	George Harrison
Q881	Vietnam
Q35	Denmark
Q645889	Reprise Records
Q187884	Jan Rubes
Q33946	Czechoslovakia
Q35760	essay
Q633	Neil Young
Q183945	record producer
Q32	Luxembourg
