head_id,relation_name,tail_id
31,term6,17
101,term10,100
73,term12,53
50,term4,5
76,term20,70
82,term11,70
39,term8,19
102,term11,62
29,term11,70
2,term5,98
41,term17,10
66,term8,93
29,term15,31
79,term9,35
91,term15,62
37,term4,86
47,term10,52
93,term15,61
41,term1,32
67,term10,22
26,term18,8
90,term17,80
57,term13,2
5,term8,18
99,term7,44
82,term7,10
40,term11,77
74,term9,18
35,term1,63
81,term15,62
94,term4,23
99,term15,62
2,term7,72
41,term7,79
56,term0,20
92,term16,95
29,term17,45
46,term20,45
86,term8,80
50,term2,82
79,term8,95
44,term6,56
70,term20,101
23,term18,103
99,term11,57
23,term5,45
89,term16,48
31,term17,60
81,term17,46
84,term3,77
101,term1,65
23,term6,14
11,term15,10
7,term18,57
100,term18,60
23,term12,6
84,term11,48
42,term6,40
64,term2,34
102,term8,85
36,term10,86
29,term5,39
48,term9,8
80,term18,47
99,term15,79
52,term8,27
84,term18,90
46,term4,87
33,term8,85
1,term18,26
6,term5,70
31,term22,58
96,term13,43
80,term20,27
77,term12,25
60,term7,32
82,term17,99
92,term2,30
62,term9,97
3,term16,66
26,term5,70
44,term13,42
44,term3,0
55,term11,16
48,term8,54
34,term1,41
78,term7,64
57,term8,18
84,term3,68
23,term10,92
27,term16,68
63,term10,43
24,term11,41
33,term8,74
56,term0,87
39,term10,86
92,term16,16
16,term10,58
81,term21,24
100,term1,65
81,term16,66
62,term20,26
102,term7,24
64,term12,83
42,term2,43
53,term7,11
13,term0,94
29,term5,67
81,term18,28
68,term11,77
10,term1,93
77,term20,46
16,term4,87
20,term20,70
63,term12,67
6,term17,42
11,term11,37
83,term18,61
96,term7,12
74,term18,70
54,term6,65
30,term1,35
86,term2,90
63,term17,27
100,term22,21
80,term8,16
58,term7,11
22,term3,0
99,term15,30
44,term16,77
96,term0,18
44,term11,18
38,term15,92
70,term3,40
89,term18,47
72,term9,30
33,term15,73
55,term7,68
54,term10,63
8,term13,10
3,term2,103
88,term15,26
99,term5,35
45,term3,51
96,term4,102
58,term8,28
4,term12,45
11,term16,55
12,term15,21
64,term16,61
20,term20,25
25,term15,36
85,term14,87
44,term15,32
71,term5,55
55,term1,34
0,term18,76
28,term7,2
65,term2,100
85,term17,100
3,term11,65
42,term15,10
17,term16,33
64,term11,29
28,term18,3
8,term9,70
50,term11,17
96,term4,79
88,term20,93
35,term15,47
30,term8,55
99,term15,42
92,term15,15
98,term6,51
12,term16,86
63,term13,22
31,term7,59
40,term11,59
4,term11,59
20,term15,80
31,term5,41
10,term6,102
101,term16,13
46,term20,101
60,term17,90
62,term12,27
98,term0,26
44,term2,27
72,term18,101
26,term8,20
58,term12,19
45,term16,49
71,term6,64
45,term17,24
13,term6,32
42,term5,99
57,term6,79
32,term2,2
48,term15,31
94,term11,66
23,term11,61
5,term13,1
54,term8,95
73,term17,48
50,term15,18
76,term12,84
102,term7,64
4,term15,89
7,term4,94
57,term9,99
2,term6,86
69,term20,83
85,term3,59
70,term16,37
20,term11,99
97,term18,47
11,term10,21
75,term16,60
46,term16,0
61,term7,96
11,term10,102
67,term5,70
49,term6,24
76,term15,79
26,term15,2
79,term15,100
26,term18,32
57,term13,58
26,term16,101
92,term21,86
49,term15,29
55,term16,61
69,term15,13
46,term15,31
27,term16,99
28,term1,78
6,term9,27
51,term16,30
3,term18,11
71,term16,87
53,term16,0
82,term0,51
4,term18,28
51,term6,31
72,term8,25
52,term10,10
96,term9,36
40,term9,20
76,term20,50
40,term7,64
36,term7,12
74,term9,67
7,term15,56
80,term1,92
94,term11,22
25,term11,17
41,term11,69
47,term21,2
94,term11,49
45,term18,35
93,term4,32
19,term6,43
61,term16,70
96,term7,59
62,term10,63
9,term5,8
74,term12,30
102,term11,11
0,term8,55
18,term11,26
69,term3,65
27,term16,20
101,term1,20
71,term17,23
47,term8,18
23,term20,9
43,term11,89
61,term12,27
18,term11,66
90,term16,38
71,term5,8
75,term13,40
69,term9,8
10,term16,13
57,term12,55
65,term2,10
93,term16,39
88,term15,71
38,term15,89
43,term11,62
44,term16,4
93,term2,77
53,term17,56
89,term1,92
65,term3,70
69,term3,81
7,term5,87
43,term13,22
11,term15,103
90,term7,100
95,term8,23
56,term13,48
